,title,originallink,link,description,pubDate
0,"씨어터 뮤직 페스티벌, '포레스텔라' '콜미 바이 유어 네임' '위플래쉬' 등 음...",http://www.mhns.co.kr/news/articleView.html?idxno=532730,http://www.mhns.co.kr/news/articleView.html?idxno=532730,포레스텔라의 멤버 고우림이 피겨여왕 <b>김연아</b>와 10월 결혼을 알리며 큰 화제를 모은 바 있다. 1월 13일 토요일에는 티모시 살라메 주연의 영화 &apos;콜 미 바이 유어 네임&apos;의 필름 콘서트가 개최된다. 원본 영화 상영과... ,"Thu, 18 Aug 2022 09:28:00 +0900"
1,김연아 예비신랑 고우림도 출격…'씨어터 뮤직 페스티벌',http://www.newsis.com/view/?id=NISX20220818_0001982168&cID=10701&pID=10700,https://n.news.naver.com/mnews/article/003/0011369267?sid=103,기사내용 요약 11월 한달간 세종문화회관 개최 &apos;피겨퀸&apos; <b>김연아</b>의 예비신랑인 고우림이 속한 크로스오버 그룹 &apos;포레스텔라&apos;의 콘서트를 비롯해 11월 한 달간 세종문화회관에서 &apos;씨어터 뮤직 페스티벌&apos;이 열린다. 오는... ,"Thu, 18 Aug 2022 09:10:00 +0900"
2,"이동국 전축구국가대표-한국펩시콜라, 한부모여성 가정에 2천만 원 기부",http://www.stnsports.co.kr/news/articleView.html?idxno=153534,https://sports.news.naver.com/news.nhn?oid=450&aid=0000086838,"또한 펩시 및 게토레이의 프리미어 파트너로 활약중인 전 국가대표 피겨스케이팅 선수 <b>김연아</b>, 가수 아이유, 가수 아이브 싸인이 담긴 &apos;펩시 콜라보 삼성 갤럭시 Z플립3&apos;  다섯 세트를 한부모여성 가정 자녀를 대상으로... ","Thu, 18 Aug 2022 08:41:00 +0900"
3,"이동국X한국펩시콜라, 한부모여성 가정에 2천만원 기부",http://www.slist.kr/news/articleView.html?idxno=377490,http://www.slist.kr/news/articleView.html?idxno=377490,"또한 펩시 및 게토레이의 프리미어 파트너로 활약중인 전 국가대표 피겨스케이팅 선수 <b>김연아</b>, 가수 아이유, 가수 아이브 싸인이 담긴 &apos;펩시 콜라보 삼성 갤럭시 Z플립3&apos;  다섯 세트를 한부모여성 가정 자녀를 대상으로... ","Thu, 18 Aug 2022 08:18:00 +0900"
4,소트니코바 “우크라이나 루한스크는 러시아 땅” [피겨스케이팅],http://mksports.co.kr/view/2022/729352/,https://sports.news.naver.com/news.nhn?oid=410&aid=0000888574,그러나 최근 중국 ‘터우탸오’가 회상한 현장 분위기에 따르면 많은 관계자가 디펜딩 챔피언 <b>김연아</b>(32) 2연패 달성을 축하할 준비를 했을 정도로 당시에도 의외로 여겨진 결과다. ▲2010 주니어 그랑프리 파이널 우승... ,"Thu, 18 Aug 2022 08:01:00 +0900"
5,누나들 사로잡은 케빈 오·고우림의 공통점 '넷',https://news.jtbc.co.kr/article/article.aspx?news_id=NB12071212,https://n.news.naver.com/mnews/article/437/0000310226?sid=106,고우림 역시 10월 22일 신라호텔에서 <b>김연아</b>와 백년가약을 맺는다. 예비 신부가 전부 연상이라는 점도 눈에 띈다. 케빈 오와 공효진은 열 살 차이 나는 연상연하 커플이다. 고우림의 예비신부 <b>김연아</b>도 1990년생 올해... ,"Wed, 17 Aug 2022 17:24:00 +0900"
6,"'10월의 신부' 김연아, ""서른 넘고 새로운 인생 시작되는 느낌""",http://www.starnewsk.com/news/articleView.html?idxno=32642,http://www.starnewsk.com/news/articleView.html?idxno=32642,가수 고우림과 오는 10월 결혼을 앞둔 &apos;피겨 여왕&apos; <b>김연아</b>가 새로운 화보를 공개했다. 지난 16일 공개된 패션 매거진 엘르 9월호 화보에서 한 명품 브랜드 앰배서더로 활약 중인 <b>김연아</b>는 고혹적인 매력을 발산했다. 화보... ,"Wed, 17 Aug 2022 17:04:00 +0900"
7,'황제' 임영웅보다 브랜드 평판 높은 광고모델은?,http://www.goodkyung.com/news/articleView.html?idxno=184964,http://www.goodkyung.com/news/articleView.html?idxno=184964,"또 공유, 손석구, 블랙핑크, <b>김연아</b>, 김종국가 10위권을 이뤘다. 이들에 이어 이찬원, 강다니엘, 차은우, 세븐틴, 이정재, 소녀시대, 정우성 등의 순으로 광고모델 브랜드 순위가 높았다. 굿모닝경제","Wed, 17 Aug 2022 16:36:00 +0900"
8,"임영웅, 광고주가 사랑하는 트로트 스타 1위",https://www.ekn.kr/web/view.php?key=20220817001533511,https://www.ekn.kr/web/view.php?key=20220817001533511,"2022년 8월 광고모델 브랜드평판 30위 순위는 방탄소년단, 아이유, 임영웅, 유재석, 손흥민, 공유, 손석구, 블랙핑크, <b>김연아</b>, 김종국, 이찬원, 강다니엘, 차은우, 세븐틴, 이정재, 소녀시대, 정우성, 아이브, 에스파... ","Wed, 17 Aug 2022 15:36:00 +0900"
9,"성악가와 결혼 김연아 ""선수 은퇴, 그리고 서른 살, 새로운 인생 시작된다는 ...",http://www.sportsseoul.com/news/read/1151521?ref=naver,https://sports.news.naver.com/news.nhn?oid=468&aid=0000874380,피겨여왕 <b>김연아</b>. 출처 | 엘르 결혼을 앞두고 물오른 미모를 뽐내는 ‘피겨여왕’ <b>김연아</b>(32)의 표지사진이 공개됐다. <b>김연아</b>는 16일 자신의 SNS에 9월호 엘르(ELLE)와 함께 한 화보사진을 올렸다. 디올이 협찬한 화보 속에서... ,"Wed, 17 Aug 2022 15:06:00 +0900"
